title,description
Tsotsi,"A South African hoodlum named Tsotsi (Presley Chweneyagae) lives by a code of violence, and he and his gang of thugs prowl the streets of Johannesburg day and night, attacking those who fail to give them what they want. After casually shooting a woman and stealing her car, he discovers her baby in the back seat. Instead of harming the mewling infant, he takes it home and cares for it. The child acts as a catalyst for the hardened thug to regain his humanity."
Abducted in Plain Sight,In 1974 a 12-year-old girl is abducted from a small church-going community in Idaho.
My Life Is Murder,"Private investigator Alexa Crow always fights the good fight, whether it be a baffling crime or just in her everyday life."
Empire,"Hip-hop artist and CEO of Empire Entertainment, Lucious Lyon, has always ruled unchallenged, but a medical diagnosis predicts he will be incapacitated in three years, which prompts the sharks to circle. Without further damaging his family, he must decide which of his three sons will take over. His favorite, young Hakeem, is a gifted musician but values fame over hard work. Middle son, Jamal, is talented and shy but gay -- embarrassing to Lyon. The oldest, Andre, is business-minded but lacks charisma. The reappearance of Cookie, his ex-wife, complicates things; she says he owes her for taking the fall for the drug-running that financed his early career."
Latter Days,"Aaron Davis (Steve Sandvoss), a young Mormon, arrives in Los Angeles with three fellow missionaries to evangelize. The group's promiscuous gay neighbor, Christian (Wes Ramsey), makes a bet he can seduce and sleep with one of them, and his flirtatious ways help Aaron realize he is actually gay. Returning home to small-town Idaho in shame, Aaron is sent to a faith-based center to be cured of his homosexuality -- while Christian, who's fallen in love with him, desperately tries to find him."
Moonlight Mile,"When Joe Nast's (Jake Gyllenhaal) plans for marriage change due to an unexpected loss, he wants to be the man he believes everyone wants him to be - dutifully bereaved husband-to-be, and perfect would-be son-in-law to Ben (Dustin Hoffman) and JoJo (Susan Sarandon). But when another woman unexpectedly enters his life, he's quickly torn between fulfilling his new role and following his heart."
"Knowing Me, Knowing You with Alan Partridge",Norwich's favorite radio personality hosts his own variety program.
Fatima,"When an undocumented West African home health aid is forced to care for an ailing Trump supporter, pure chaos ensues."
I'm Dying Up Here,"Before the internet and viral videos made it easy for aspiring comics to get their material seen, they had to travel and perform at comedy clubs to rise through the ranks of stand-up comedy and make a name for themselves. This drama series explores the famed Los Angeles stand-up scene of the 1970s as the comedy hopefuls stand alone on stage, ""dying"" for fame, fortune and -- if they're lucky -- a shot on Johnny Carson's show. Oscar winner Melissa Leo leads the ensemble cast as Goldie, a comedy-club owner who mentors a competitive but close-knit group of comics. She leads her business with an iron fist but nurtures the comics with tough love because she knows that there's no such thing as an easy laugh in their chosen profession."
Day of the Wacko,A middle-aged schoolteacher hates himself and takes out his anger and frustration on the people around him.
Two Is a Family,"A man's life is turned upside down when an old flame leaves a child on his doorstep, claiming it is his. He moves to London and raises the child by himself."
And Then We Danced,"A male dancer and his partner have been training for years for a spot in the National Georgian Ensemble. The arrival of another dancer throws him off balance, sparking both an intense rivalry and romantic desire that may cause him to risk his future."
Capital,"The unpolished city of Astana, enveloped by boundless steppe, grows into a futuristic metropolis after being chosen as the new capital of Kazakhstan."
Naked and Afraid,"The ubiquitous survival show theme is taken to the next level by stripping it to its bare essentials; two complete strangers - a man and a woman - meet, stranded in a dangerous, desolate location, without food and water, and they're completely naked."
The Book of Boba Fett,"On the sands of Tatooine, bounty hunter Boba Fett and mercenary Fennec Shand navigate the Galaxy's underworld and fight for Jabba the Hutt's old territory."
Love Me If You Dare,"Close childhood friends (Guillaume Canet, Marion Cotillard) continuously dare each other to pull pranks in a twisted game of one-upmanship."
Natsamrat,An actor who has reached many heights in his acting career suddenly retires.
The Peanut Butter Falcon,"After running away from a residential nursing home to pursue his dream of becoming a pro wrestler, a man who has Down syndrome befriends an outlaw who becomes his coach and ally."
1946: The Mistranslation That Shifted Culture,"1946 is a feature documentary that follows the story of tireless researchers who trace the origins of the anti-gay movement among Christians to a grave mistranslation of the Bible in 1946. It chronicles the discovery of never-before-seen archives at Yale University which unveil astonishing new revelations, and casts significant doubt on any biblical basis for LGBTQIA+ prejudice. Featuring Commentary from prominent scholars as well as opposing pastors, including the personal stories of the film's creators, and original music by Grammy winning artist Mary Lambert, 1946 is at once challenging, enlightening, and inspiring."
The Blacklist,"For decades, ex-government agent Raymond ""Red"" Reddington has been one of the globe's most wanted fugitives. But then he agreed to work with the FBI to catch his ""blacklist"" of mobsters, spies and international terrorists -- on the condition that he must work with profiler Elizabeth Keen. Red's true intentions -- choosing Liz, a woman with whom he seemingly has no connection -- are unclear. Does Liz have secrets of her own? Red promises to teach Liz to think like a criminal ""to see the bigger picture,"" whether she wants to or not."
Peppermint,"When a friend invites him to a party, a preoccupied aircraft-engineer reminisces about events in his life."
The Spectacular Spider-Man,"Teenager Peter Parker tries to juggle his two new worlds -- he must learn how to use his new powers and responsibilities as Spider-Man while keeping it a secret from his high school friends and teachers. As important as school is to Peter, Spider-Man is expected to be a super hero and protect citizens from mutant lizards, an evil vulture and a cast of other villains."
Pearl Jam Twenty,Filmmaker and music journalist Cameron Crowe pays tribute to the Seattle-based band's 20th anniversary with interviews and rare concert footage.
